address,name
0x6ca33486eed915816560630b883a047c4e2b92df,Fake: Metadium Presale
0xa0c7bd318d69424603cbf91e9969870f21b8ab4c,Audius Exploiter
0xefb33ccafc98d5fdb27a6f5ff17350ca76bf3b53,Liquid Exchange Hacker 2
0x118203b0f2a3ef9e749d871c8fef5e5e55ef5c91,DEGO and Cocos Exploiter
0x07ba7e8947f8fb4d33f3c7e25c2cb35b858f02eb,Siren Protocol Exploiter 1
0xb66cd966670d962c227b3eaba30a872dbfb995db,eulerexploiter.eth
0x3ddd8b6d092df917473680d6c41f80f708c45395,Miso Front End Exploiter
0x39fb0dcd13945b835d47410ae0de7181d3edf270,Bitmart Hacker
0x844f03375f7da2292da550aebfd52dff2cc6ad75,RUNE Token Exploiter
0xef9427bf15783fb8e6885f9b5f5da1fba66ef931,DAOMaker Exploiter 2
0x4b713980d60b4994e0aa298a66805ec0d35ebc5a,THORChain Exploiter 1
0x74487eed1e67f4787e8c0570e8d5d168a05254d4,bZx PrivKey Exploiter
0x6e1218c55f1acb588fc5e55b721f1183d7d29d3d,ATO Stolen Funds
0x0ae1554860e51844b61ae20823ef1268c3949f7c,AnySwap v3 Exploiter
0x11112f684cb88d43ca0e132e585e882606063fbe,Malicious Actor (Exploit Abuser)
0x731821d13414487ea46f1b485cfb267019917689,Pancake Hunny Exploiter
0xa8189407a37001260975b9da61a81c3bd9f55908,SashimiSwap Exploiter
0x5c1fe6f340dd36b5daf88c2cf390bf715d2af139,ChainPort Exploiter 3
0xc062dceed93087c9112ff7b02d53e928e49cec09,Gatecoin Hacker 3
0xa2919f0db51074ad9e3b22ac353f68112a0cd14a,memoriesexploit.eth
0xf9e3d08196f76f5078882d98941b71c0884bea52,Popsicle Swap Hacker
0xf4a2eff88a408ff4c4550148151c33c93442619e,Plus Token Ponzi 1
0x42960c7f91e7aca98f374296df900cb4d6b09601,Etherwrapped Rug Pull
0xf834efe5b959e52e3b78cb28c4bc501b52ce41da,Siren Protocol Exploiter 3
0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,FinNexus Hacker
0xa9bf70a420d364e923c74448d9d817d3f2a77822,Lendf.Me Hacker 1
0x09923e35f19687a524bbca7d42b92b6748534f25,Nexus Mutual Hacker 1
0xe29a07002c7be4299b51a2892799cc4a372994dd,Force Vault Hacker 3
0x5676e585bf16387bc159fd4f82416434cda5f1a3,NowSwap Exploiter
0x44f723fb380eb9ec9021952630104c60e05b3994,exploitoor.eth
0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,BELLE Honeypot Rug Pull
0x67c67b5a3c4009cf849f86be37e79db3923f1055,ZBExchange Hacker 1
0xa0a27f89e3567fc7de1705a9b297f6af6bc89019,exploitedrec.eth
0x1ce77d10b9f7d725b85a6bcbec32cb3622eb99dd,polynetworkexploit.eth
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Gatecoin Hacker 1
0x562331d30b14310870e29ead7a506c897e1d1657,SaturnbeamFi Rug Pull
0x9fc53c75046900d1f58209f50f534852ae9f912a,AnubisDAO Liquidity Rug 2
0xaa923cd02364bb8a4c3d6f894178d2e12231655c,Cryptopia Hacker 2
0x9c4c63a896f815acf14f73891a443fb84d0b54ef,MetaDAO Rug
0x5578840aae68682a9779623fa9e8714802b59946,Liquid Exchange Hacker 1
0xcb36b1ee0af68dce5578a487ff2da81282512233,Rari Capital Exploiter
